,300,300,300,300,300,300,,420,420,420,420,420,420,,540,540,540,540,540,540,,660,660,660,660,660,660,,780,780,780,780,780,780,,900,900,900,900,900,900,,1020,1020,1020,1020,1020,1020,,1140,1140,1140,1140,1140,1140,,1260,1260,1260,1260,1260,1260,,1380,1380,1380,1380,1380,1380,,1500,1500,1500,1500,1500,1500
,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD
,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count
7,2.9042956,151,5.49E-04,178,3.04E-04,153,,6.3528547,204,8.59E-04,239,4.36E-04,206,,8.605188,257,0.0016152,302,6.91E-04,259,,15.7445753,312,0.0020481,373,0.00104,316,,20.4670065,379,0.0034018,447,0.001418,382,,28.8356471,438,0.0052889,520,0.0023198,443,,36.5378353,496,0.004913,582,0.0025297,498,,40.9125794,560,0.0076687,649,0.0032016,561,,53.6858648,612,0.0092209,711,0.0045547,616,,59.3529564,686,0.0114756,803,0.0045658,688,,75.7850431,727,0.0126875,857,0.0048018,733
8,3.327798,151,6.05E-04,178,2.58E-04,153,,5.9198616,204,8.55E-04,239,4.71E-04,206,,8.6312514,257,0.0014916,302,7.15E-04,259,,14.754654,312,0.0025983,373,0.0010016,316,,19.2474886,379,0.0029712,447,0.0020433,382,,26.3169392,438,0.0042985,520,0.0018353,443,,34.4592652,497,0.0055771,582,0.0023457,498,,40.7699672,561,0.0065799,649,0.0028892,561,,54.6214986,611,0.0090712,711,0.0039928,616,,58.6189194,686,0.0107628,803,0.0041913,688,,75.6926629,727,0.0127435,857,0.0051576,733
9,3.0714106,151,6.29E-04,178,4.19E-04,153,,5.973765,204,8.80E-04,239,4.36E-04,206,,9.4685862,256,0.0013844,302,6.98E-04,259,,13.9079251,314,0.0020647,373,9.73E-04,316,,19.2043665,379,0.0027925,447,0.001462,382,,26.6765549,439,0.0038319,520,0.0019898,443,,32.2054504,496,0.0058446,582,0.0031456,498,,40.6713232,561,0.0071357,649,0.0032316,561,,51.8776204,612,0.0093915,711,0.0037596,616,,61.4708738,687,0.0110908,803,0.0042181,688,,73.8369141,727,0.0123033,857,0.0047647,733
10,3.0607143,151,6.78E-04,178,2.92E-04,153,,5.2982238,205,0.0013069,239,4.77E-04,206,,9.0836018,257,0.0015945,302,6.89E-04,259,,15.55776,313,0.0022162,373,0.0010353,316,,19.7998273,379,0.0026376,447,0.0013583,382,,26.2616896,439,0.0040444,520,0.0019442,443,,32.5544768,496,0.0049764,582,0.0023214,498,,40.5824125,561,0.0065152,649,0.0027353,561,,63.2678492,611,0.0088589,711,0.003395,616,,59.069549,686,0.0107878,803,0.0041109,688,,69.5840343,728,0.0127413,857,0.0049782,733
11,2.9944661,152,6.29E-04,178,4.67E-04,153,,5.5292112,204,9.86E-04,239,4.75E-04,206,,9.0031283,256,0.0013887,302,6.93E-04,259,,15.4108343,312,0.0021715,373,0.0010069,316,,22.0357256,379,0.0035908,447,0.0014124,382,,25.588255,439,0.0039431,520,0.0018511,443,,34.6917347,496,0.0063856,582,0.0025794,498,,39.7274288,560,0.0070539,649,0.003045,561,,54.9816478,612,0.0093894,711,0.0034209,616,,57.8991255,686,0.0117471,803,0.0044205,688,,74.258212,727,0.011798,857,0.0055603,733
12,2.9109146,151,5.94E-04,178,2.90E-04,153,,5.1626833,204,9.16E-04,239,4.65E-04,206,,9.1324742,257,0.0014282,302,6.94E-04,259,,14.3381793,312,0.002148,373,9.56E-04,316,,19.838937,379,0.002741,447,0.0020179,382,,27.1342287,439,0.0041812,520,0.0018271,443,,34.2507247,496,0.0050705,582,0.00312,498,,39.9801983,561,0.0078654,649,0.0030938,561,,59.1244286,611,0.00929,711,0.0034765,616,,74.9151753,686,0.0107743,803,0.0040109,688,,76.8105948,727,0.0125288,857,0.005217,733
13,3.1789026,151,6.29E-04,178,2.73E-04,153,,5.0443276,204,8.80E-04,239,4.48E-04,206,,9.5164777,257,0.0013762,302,6.95E-04,259,,14.8180891,313,0.0021095,373,0.0010075,316,,20.6570602,379,0.0027966,447,0.0013464,382,,27.1652692,439,0.0040223,520,0.0018173,443,,34.9438264,497,0.0050726,582,0.0023799,498,,41.2610863,560,0.0068757,649,0.0029216,561,,64.6916007,611,0.0094584,711,0.0038298,616,,59.1003189,687,0.0104492,803,0.0043401,688,,76.30207,727,0.0133409,857,0.0052956,733
14,3.0631132,152,6.47E-04,178,3.50E-04,153,,5.1084926,204,9.05E-04,239,4.53E-04,206,,9.1598824,257,0.0015025,302,7.19E-04,259,,14.397781,313,0.0021056,373,0.0010626,316,,19.6343408,379,0.0034615,447,0.001846,382,,27.610168,439,0.0056705,520,0.0020294,443,,33.393711,496,0.0054883,582,0.0022793,498,,41.5792318,561,0.0066231,649,0.0029195,561,,55.2571192,613,0.0083417,711,0.0034075,616,,57.1654499,687,0.0113829,803,0.0049966,688,,73.046485,727,0.012564,857,0.0048575,733
15,2.7402597,151,6.55E-04,178,3.31E-04,153,,5.223671,204,9.27E-04,239,4.74E-04,206,,9.047747,257,0.0014427,302,7.04E-04,259,,15.0472371,313,0.0020834,373,9.30E-04,316,,21.986463,379,0.0035166,447,0.0013733,382,,26.2432725,439,0.0043953,520,0.0018513,443,,34.6325454,496,0.0057098,582,0.0021769,498,,40.4566082,561,0.0067029,649,0.0032834,561,,57.2155533,610,0.0083348,711,0.0035226,616,,60.8142523,687,0.0108307,803,0.0042286,688,,88.7081899,727,0.0126801,857,0.0047652,733
16,2.9574033,151,5.16E-04,178,3.76E-04,153,,5.5626394,204,8.52E-04,239,4.47E-04,206,,8.8937253,257,0.0014394,302,7.11E-04,259,,17.9695499,311,0.0021221,373,0.0010203,316,,19.5939839,378,0.0027848,447,0.0014597,382,,26.3080741,439,0.0039866,520,0.0017499,443,,32.9538933,496,0.0059553,582,0.0026904,498,,40.1951147,560,0.0067309,649,0.003068,561,,54.0456429,612,0.009519,711,0.0040064,616,,58.8237557,687,0.0108951,803,0.0040757,688,,74.3295447,727,0.0119992,857,0.0047883,733
